Region	State	County	Nitrogen	MMI
5	Minnesota	Marshall	2663	38.47125723
5	Michigan	Newaygo	230	70.84688115
5	Wisconsin	Oneida	508	26.57240341
5	Ohio	Guernsey	220	9.832228082
5	Indiana	Lawrence	390	22.77040497
5	Michigan	Schoolcraft	778	45.46172517
5	Wisconsin	Calumet	8816	40.53877083
5	Illinois	Scott	828	49.36011615
5	Indiana	Perry	240	30.21704697
5	Wisconsin	Price	583	37.68760484
5	Indiana	Adams	836	25.28449321
5	Wisconsin	Winnebago	1046	8.488477429
5	Indiana	Wayne	1828	59.63837044
5	Michigan	Hillsdale	2113	50.60825049
5	Ohio	Erie	1738	36.13898999
5	Ohio	Stark	1150	8.123660064
5	Minnesota	St. Louis	311	29.08182064
5	Illinois	Ogle	9424	31.097094040000002
5	Wisconsin	Clark	384	10.20552717
5	Minnesota	Mcleod	9693	29.66588093
5	Michigan	Ontonagon	329	44.52012477
5	Minnesota	Carlton	796	22.61385831
5	Illinois	Moultrie	4454	13.39833875
6	Arkansas	Little River	1694	21.18446334
6	Texas	Hamilton	546	63.71478537
6	Louisiana	Natchitoches	2400	27.61786097
6	New Mexico	Sandoval	143	24.0172201
6	Texas	Wharton	1350	24.19485335
6	New Mexico	Rio Arriba	106	44.71191229
6	Arkansas	Scott	254	45.17922675
6	Texas	San Jacinto	169	35.15923678
6	Texas	Burnet	155	46.59572183
6	Oklahoma	Payne	1214	7.436837809
6	Arkansas	Arkansas	1069	6.781349797
6	Oklahoma	Garvin	1858	5.237741894
6	Texas	Freestone	505	53.83005363
6	Arkansas	Yell	412	31.0079602
6	Louisiana	Beauregard	109	45.7755471
6	Texas	Cass	603	12.9621324
6	Arkansas	Lawrence	114	45.20919889
6	Arkansas	Independence	428	31.50559454
6	New Mexico	Colfax	152	43.15437549
6	Arkansas	Marion	976	52.05768995
6	Texas	Houston	658	48.53705761
6	Louisiana	St. Helena	576	76.11967715
6	Texas	Fannin	898	44.0449744
6	Arkansas	Pope	718	23.41605754
6	Louisiana	Iberia	1372	10.8328559
6	Arkansas	Izard	154	32.16070668
6	Oklahoma	Caddo	633	29.77002329
6	Arkansas	Searcy	109	40.87912395
6	New Mexico	Rio Arriba	277	17.82178653
6	Oklahoma	Le Flore	148	23.89823899
6	Texas	Tyler	348	60.13488019
6	Louisiana	St. Tammany	954	4.89866021
6	Louisiana	Acadia	1237	10.61032089
6	Texas	Rusk	603	53.28567563
6	Arkansas	Greene	962	28.6396206
6	Texas	Gillespie	225	67.32047071
6	Oklahoma	Creek	499	57.33801552
6	Arkansas	Grant	566	14.57206518
6	Louisiana	East Baton Rouge	908	26.52633353
6	Oklahoma	Jefferson	1455	41.37707219
6	Texas	Reeves	1061	16.61399663
6	Louisiana	Beauregard	671	44.41175717
6	Texas	Wood	636	43.08860301
6	Texas	Bexar	1372	15.91894271
6	Oklahoma	Dewey	514	33.38297118
6	Arkansas	Woodruff	4250	13.44716719
6	Louisiana	Vernon	333	44.9301139
6	Oklahoma	Ottawa	1253	9.960923268
6	Oklahoma	Le Flore	101	20.32959565
6	Louisiana	Union	1954	22.33735603
6	Louisiana	Livingston	1085	35.10874366
6	Texas	Throckmorton	1010	41.38629964
6	Texas	Brazoria	1059	36.7479856
6	Louisiana	Rapides	230	62.24603862
6	New Mexico	Sandoval	363	29.9992135
6	Oklahoma	Haskell	419	23.63178312
6	Oklahoma	Muskogee	373	11.30281156
6	Louisiana	Evangeline	917	3.611902501
6	Oklahoma	Tillman	2213	13.18851751
6	Texas	Harris	3706	3.914609054
6	Louisiana	Calcasieu	1438	19.64082271
6	Texas	Camp	195	39.6208959
6	Louisiana	St. Landry	761	17.30602838
6	Texas	Fannin	629	41.02422977
6	Louisiana	Ouachita	1449	26.35971702
6	Texas	Erath	109	67.89593757
6	Arkansas	Logan	1434	16.46475058
6	Oklahoma	Pushmataha	250	43.00051155
6	Arkansas	Fulton	187	17.33900139
6	Arkansas	Cleburne	146	40.0508753
6	Texas	Rusk	338	15.96446818
6	New Mexico	Taos	110	35.47056841
6	Oklahoma	Mayes	828	46.4533787
6	Arkansas	Polk	144	37.32573203
6	Texas	Jefferson	273	15.72451516
6	Texas	Mclennan	449	74.56297848
6	Oklahoma	Ellis	494	38.81407343
6	Arkansas	Crawford	226	44.03541334
6	Texas	Shelby	1199	32.37788351
6	Texas	Wharton	1440	25.51518527
6	Oklahoma	Osage	314	64.67002745
6	Texas	Sabine	176	64.51570931
6	New Mexico	Rio Arriba	338	10.90825529
6	Arkansas	Pike	71	53.88292149
6	Texas	Polk	253	56.04500204
6	Texas	Bee	539	52.75731944
6	Arkansas	Crittenden	1099	3.957976161
6	Oklahoma	Okfuskee	904	24.48052765
6	Arkansas	Lincoln	447	41.31050636
6	Oklahoma	Johnston	499	47.41008274
6	Louisiana	Franklin	1171	21.71481648
6	Texas	Newton	344	73.02953669
6	Louisiana	Allen	560	41.5893902
6	Arkansas	Independence	214	41.71606309
6	Oklahoma	Kiowa	2159	1.94436285
6	Louisiana	Rapides	1590	6.223841211
6	Texas	Madison	1513	5.409464742
6	Louisiana	Tangipahoa	80	62.41117986
6	New Mexico	Catron	88	22.11684016
6	Texas	Hutchinson	3069	22.66263612
6	Arkansas	Lonoke	2054	16.87215296
6	New Mexico	Sandoval	590	30.24630179
6	New Mexico	Rio Arriba	204	66.17219832
6	Arkansas	Hempstead	455	62.75576182
6	Texas	Denton	989	31.79342208
7	Iowa	Boone	23300	28.07098906
7	Iowa	Pottawattamie	8644	39.89505731
7	Iowa	Fayette	9838	41.69709899
7	Iowa	Webster	2214	73.01367453
7	Iowa	Fayette	5288	35.78716514
7	Iowa	Chickasaw	6250	52.43820583
7	Iowa	Sioux	1938	15.88905378
7	Iowa	Ida	16588	28.69615961
7	Iowa	Pottawattamie	10750	59.23912914
7	Iowa	Page	15925	42.50609704
7	Iowa	Clinton	3638	16.922832
7	Iowa	Black Hawk	4638	49.12421649
7	Iowa	Monona	5363	22.06054507
7	Iowa	Sac	10475	65.95411287
7	Iowa	Clay	13138	15.71184009
7	Iowa	Plymouth	20250	15.55121876
7	Iowa	Ringgold	5863	6.290678408
7	Iowa	Taylor	5063	39.89173523
7	Iowa	Johnson	9094	31.76811919
7	Iowa	Jones	6413	40.96192602
7	Iowa	Monona	3450	41.35181057
7	Iowa	Sac	15588	46.67497043
7	Iowa	Winnebago	14475	19.07291989
7	Iowa	Plymouth	13250	36.16413392
7	Iowa	Page	9225	35.00308253
7	Iowa	Muscatine	2214	38.52148539
7	Iowa	Carroll	21538	10.34064689
7	Iowa	Plymouth	11988	31.48116009
7	Iowa	Wright	13338	42.56390762
7	Iowa	Clayton	6838	38.94786956
7	Iowa	Davis	639	53.41515163
7	Iowa	Cerro Gordo	5581	68.74969897
7	Iowa	Bremer	887	40.86622699
7	Iowa	Tama	19125	47.35085605
7	Iowa	Pocahontas	12550	6.83647983
7	Iowa	Allamakee	10344	22.18466871
7	Iowa	Dubuque	8763	22.82052899
7	Missouri	Scott	909	28.45133543
7	Missouri	Maries	154	28.75047173
7	Nebraska	Saunders	3156	37.81253539
7	Kansas	Labette	699	38.08581288
7	Kansas	Anderson	1969	26.55661634
7	Missouri	Miller	468	32.55558179
7	Nebraska	Kearney	2233	17.70639784
7	Kansas	Barber	1956	15.22296637
7	Missouri	Macon	1135	45.40521839
7	Kansas	Harvey	403	31.97108737
7	Missouri	Audrain	759	42.51658409
7	Nebraska	Cedar	43650	16.11635587
7	Missouri	Greene	394	20.59625788
7	Nebraska	Sioux	1114	26.93365715
7	Missouri	Jackson	609	60.72183603
7	Nebraska	Madison	5781	20.68181806
7	Kansas	Kingman	4800	53.48271533
7	Missouri	Moniteau	681	39.18119495
7	Missouri	Macon	974	33.0402845
7	Missouri	Washington	180	70.64449056
7	Kansas	Jewell	1265	13.81079531
7	Missouri	Ray	724	26.11377587
7	Kansas	Lyon	454	68.93887496
7	Missouri	Montgomery	1919	39.73015881
7	Nebraska	Richardson	716	29.7638393
7	Nebraska	Thurston	3881	19.59106109
7	Missouri	Ripley	168	41.5955391
7	Nebraska	Keya Paha	709	32.12161433
7	Nebraska	York	5831	19.41433875
7	Missouri	St. Clair	191	54.92806983
7	Kansas	Lincoln	784	17.14926675
7	Missouri	Holt	2097	51.2845258
7	Missouri	Adair	424	43.91127675
7	Missouri	Henry	238	52.34374797
7	Missouri	Howard	638	40.57544197
7	Kansas	Pottawatomie	1889	27.10784314
8	Colorado	Pueblo	451	46.29537784
8	Colorado	Jefferson	484	35.28733959
8	Colorado	Prowers	2436	19.1247868
8	Colorado	El Paso	275	78.72486847
8	Colorado	El Paso	179	44.5777521
8	Colorado	Las Animas	566	10.82657691
8	Colorado	Boulder	131	33.21119676
8	Colorado	Douglas	128	57.44080011
8	Colorado	Las Animas	1708	5.555863565
8	Colorado	Prowers	3636	14.80265747
8	Colorado	Otero	425	17.50941632
8	Colorado	Pueblo	276	29.7308805
8	Colorado	Bent	656	0.021971578
8	Colorado	Boulder	298	63.92350903
8	Colorado	Archuleta	76	60.77479738
8	Colorado	Pitkin	106	43.65967679
8	Colorado	Gunnison	88	46.21661943
8	Colorado	Rio Blanco	566	23.66018726
8	Colorado	Saguache	159	48.79738691
8	Colorado	Mineral	58	59.14010875
8	Colorado	Prowers	6981	33.40986063
8	Colorado	Jackson	89	56.05980342
8	Colorado	Routt	255	52.44836647
8	Colorado	Ouray	124	45.96588657
8	Colorado	Jefferson	370	16.8876405
8	Colorado	Rio Blanco	280	42.07553115
8	Colorado	Boulder	180	41.13679388
8	Colorado	Lincoln	470	27.21028385
8	Colorado	Routt	409	72.1198363
8	Colorado	Rio Blanco	1220	31.52171251
8	Colorado	Mesa	135	47.91949187
8	Colorado	La Plata	168	32.16902766
8	Colorado	Douglas	224	67.83705233
8	Colorado	Jackson	290	22.81191642
8	Colorado	Hinsdale	145	45.44515775
8	Colorado	Boulder	229	28.34978732
8	Colorado	Routt	150	69.48351219
8	Colorado	San Miguel	95	57.36394913
8	Colorado	Park	181	25.4709204
8	Colorado	Garfield	315	40.90060769
8	Colorado	Gunnison	133	51.93671033
8	Colorado	Chaffee	196	49.33714662
8	Colorado	Moffat	390	63.67020831
8	Colorado	San Miguel	439	42.47418485
8	Colorado	Montezuma	263	31.6747086
8	Colorado	Clear Creek	151	36.81645086
8	Colorado	Saguache	224	3.6006486620000002
8	Colorado	Douglas	166	29.97624662
8	Colorado	Summit	223	0
8	Colorado	Gunnison	131	19.42963955
8	Colorado	Costilla	106	40.67472001
8	Colorado	Jackson	244	60.44493149
8	Colorado	Rio Blanco	199	37.74579007
8	Colorado	Montezuma	566	28.02072315
8	Colorado	Lake	141	38.194001
8	Colorado	Garfield	109	37.38703414
8	Colorado	Grand	114	59.63768898
8	Colorado	Montezuma	250	52.05991552
8	Colorado	Bent	500	8.329505436
8	Montana	Cascade	38	42.26830091
8	Montana	Jefferson	183	53.57950237
8	Montana	Park	67	46.08946057
8	Montana	Ravalli	223	41.67834001
8	Montana	Chouteau	209	40.36081771
8	Montana	Flathead	44	79.48887366
8	Montana	Lewis And Clark	98	49.68071142
8	Montana	Beaverhead	34	51.97379721
8	Montana	Madison	85	74.84938337
8	Montana	Meagher	83	42.27304407
8	Montana	Meagher	900	61.61919394
8	Montana	Flathead	49	70.09316245
8	Montana	Fallon	556	30.13163031
8	Montana	Flathead	66	58.51775388
8	Montana	Mineral	76	71.37063946
8	Montana	Granite	95	56.90555679
8	Montana	Fergus	885	46.95991284
8	Montana	Wheatland	114	36.74609877
8	Montana	Jefferson	128	47.4634633
8	Montana	Sheridan	4200	22.12001418
8	Montana	Powder River	789	37.95722471
8	Montana	Phillips	1334	12.8676689
8	Montana	Powder River	455	37.22622685
8	Montana	Beaverhead	134	10.40973673
8	Montana	Golden Valley	154	28.77929902
8	Montana	Silver Bow	129	44.15595212
8	Montana	Gallatin	134	11.89684859
8	Montana	Carbon	161	42.65954291
8	Montana	Flathead	185	30.82961111
8	Montana	Missoula	64	69.2231541
8	Montana	Meagher	210	74.97481893
8	Montana	Teton	1633	55.28965024
8	Montana	Park	128	49.29992899
8	Montana	Stillwater	629	68.74326877
8	Montana	Meagher	71	46.385043
8	Montana	Blaine	194	68.37608814
8	Montana	Beaverhead	113	79.16749086
8	Montana	Lewis And Clark	176	41.92015524
8	Montana	Silver Bow	99	55.90267085
8	Montana	Madison	306	33.76419949
8	Montana	Chouteau	115	86.87605507
8	Montana	Valley	1060	19.46075286
8	Montana	Beaverhead	226	13.91882251
8	Montana	Powell	788	13.44283131
8	Montana	Park	138	57.09468361
8	Montana	Yellowstone	616	40.89175088
8	Montana	Granite	203	15.56277948
8	Montana	Gallatin	163	45.73909456
8	Montana	Glacier	83	41.13925827
8	Montana	Cascade	174	94.25437485
8	Montana	Madison	78	48.46289925
8	North Dakota	Cavalier	954	34.3194488
8	North Dakota	Traill	1994	56.39333774
8	North Dakota	Grant	948	58.52803631
8	North Dakota	Grant	814	49.73204684
8	North Dakota	Billings	3500	24.26907406
8	North Dakota	Grant	926	62.15252491
8	North Dakota	Oliver	1128	25.08482547
8	North Dakota	Morton	976	61.09126796
8	North Dakota	Mercer	569	20.30431644
8	North Dakota	Walsh	5133	5.346862406
8	North Dakota	Dunn	809	66.28591184
8	North Dakota	Walsh	1250	34.34537381
8	North Dakota	Rolette	1701	36.61488085
8	North Dakota	Hettinger	1723	47.42001158
