Species	Year	Number	NumNormal
ACWO	2011	161	1.3644
ACWO	2012	182	1.6178
ACWO	2013	165	1.3636
ACWO	2014	227	1.4404
ACWO	2015	236	1.3244
ACWO	2016	200	1.6234
ACWO	2017	255	1.4571
ACWO	2018	284	2.4129
ACWO	2019	173	1.3186
ACWO	2020	240	1.2093
